Id,Name,Lender,LenderProductName,ProductDetails,VariableRate,FixedRate,FixedPeriod,IntroDiscRate,IntroDiscPeriod,ApplicationFees,DischargeFees,OngoingFees,OngoingFeesCycle,ValuationFees,LendersLegalFees,LendersSettlementFees,Min Loan Amount,Max Loan Amount,LVROOPurchaseMin,LVROOPurchaseMax,LVROOSecurityMin,LVROOSecurityMax,LVRINVPurchaseMin,LVRINVPurchaseMax,LVRINVSecurityMin,LVRINVSecurityMax,LVRLandMin,LVRLandMax,OwnerOccupied,Investment,RepaymentOption,GenuineSavingsMin,ACT,NSW,TAS,QLD,VIC,SA,WA,NT,StandardVariable,Fixed,InterestInAdvance,ReverseMortgage,Basic,NoDoc,LowDoc,Equity,Intro,CreditImpaired,Professional Pack,Min Loan Term,Max Loan Term,RateDetails,FeeDetails,AutoAppvdCCard,BpayAccess,DebitCardAvailable,DirectCreditAccess,DirectDebitAccess,EFTPOSAccess,GiroPostAustPostAccess,InternetBanking,LOCCreditCardAutoSweep,MortgageOffsetAvailable,PhoneTransferAccess,RedrawDetails,RedrawFacility,TransactionAccountAvailable,EarlyRepayBreakCostDetails,EarlyRepaymentBreakCosts,LMIAvailable,LMICapitalisationMaxLVR,RateLockAvailable,BridgingAvailable,Construction,SelfManagedSuperfund,InterestCapitalisation,InterestCapitalisationDetails,RepaymentsCanMakeExtra,RepaymentsFortnightly,RepaymentsMonthly,RepaymentsWeekly,SalaryDirectAvailable,Portability,SplitAvailable,SplitDetails,ComparisonRate
1-41VU4N,Lo Doc 60 Breakfree Variable $500k+ Investment,ANZ,Lo Doc Breakfree Variable,,5.06,,,,,0,160,395,Annually,0,0,0,500000,2500000,0,0,0,0,0,60,0,60,0,0,N,Y,Principal & Interest,,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,N,N,N,N,Y,N,N,N,Y,1,30,Special Offer 0.90% discount (already included) normally 0.70%. Available for an increase of $100k or more with a total lending of >$250k or new lending > $250k under Breakfree.,Discharge may incur additional fees. One free Mortgage re-negotiation per year-(eg switching from variable to fixed). Breakfree Package holders are entitled to recieve 3 waivers of the val admin fee per annum per package,N,Y,N,Y,N,N,N,Y,N,Y,Y,N/A,N,N,N/A,Y,Y,N,N,N,Y,,N,N/A,Y,Y,Y,Y,Y,Y,Y,"$0 - up to 5 ANZ HL, RIL and Equity Facs available if no prior accounts held.",
1-1BCND83,Lo Doc 60 Breakfree Variable $250k-$499k Owner Occupied,ANZ,Lo Doc Breakfree Variable,,4.56,,,,,0,160,395,Annually,0,0,0,250000,499999,0,60,0,60,0,0,0,0,0,0,Y,N,Principal & Interest,,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,N,N,N,N,Y,N,N,N,N,1,30,Special Offer 0.80% discount (already included) normally 0.60%. Available for an increase of $100k or more with a total lending of >$250k or new lending > $250k under Breakfree.,Discharge may incur additional fees. One free Mortgage re-negotiation per year-(eg switching from variable to fixed). Breakfree Package holders are entitled to recieve 3 waivers of the val admin fee per annum per package,N,Y,N,Y,N,N,N,Y,N,Y,Y,N/A,N,N,N/A,Y,Y,N,N,N,Y,,N,N/A,Y,Y,Y,Y,Y,Y,Y,"$0 - up to 5 ANZ HL, RIL and Equity Facs available if no prior accounts held.",
1-3XYFYV,Lo Doc 60 Breakfree Variable $250k-$499k Investment,ANZ,Lo Doc Breakfree Variable,,5.16,,,,,0,160,395,Annually,0,0,0,250000,499999.99,0,0,0,0,0,60,0,60,0,0,N,Y,Principal & Interest,,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,N,N,N,N,Y,N,N,N,Y,1,30,Special Offer 0.80% discount (already included) normally 0.60%. Available for an increase of $100k or more with a total lending of >$250k or new lending > $250k under Breakfree.,Discharge may incur additional fees. One free Mortgage re-negotiation per year-(eg switching from variable to fixed). Breakfree Package holders are entitled to recieve 3 waivers of the val admin fee per annum per package,N,Y,N,Y,N,N,N,Y,N,Y,Y,N/A,N,N,N/A,Y,Y,N,N,N,Y,,N,N/A,Y,Y,Y,Y,Y,Y,Y,"$0 - up to 5 ANZ HL, RIL and Equity Facs available if no prior accounts held.",
1-1BCND7T,Lo Doc 60 Breakfree Variable $150k-$249k Owner Occupied,ANZ,Lo Doc Breakfree Variable,,4.86,,,,,0,160,395,Annually,0,0,0,150000,249999,0,60,0,60,0,0,0,0,0,0,Y,N,Principal & Interest,,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,N,N,N,N,Y,N,N,N,N,1,30,0.50% Discount (already included),Discharge may incur additional fees. One free Mortgage re-negotiation per year-(eg switching from variable to fixed). Breakfree Package holders are entitled to recieve 3 waivers of the val admin fee per annum per package,N,Y,N,Y,N,N,N,Y,N,Y,Y,N/A,N,N,N/A,Y,Y,N,N,N,Y,,N,N/A,Y,Y,Y,Y,Y,Y,Y,"$0 - up to 5 ANZ HL, RIL and Equity Facs available if no prior accounts held.",
1-3XYFYO,Lo Doc 60 Breakfree Variable $150k-$249k Investment,ANZ,Lo Doc Breakfree Variable,,5.46,,,,,0,160,395,Annually,0,0,0,150000,249999.99,0,0,0,0,0,60,0,60,0,0,N,Y,Principal & Interest,,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,N,N,N,N,Y,N,N,N,Y,1,30,0.50% Discount (already included),Discharge may incur additional fees. One free Mortgage re-negotiation per year-(eg switching from variable to fixed). Breakfree Package holders are entitled to recieve 3 waivers of the val admin fee per annum per package,N,Y,N,Y,N,N,N,Y,N,Y,Y,N/A,N,N,N/A,Y,Y,N,N,N,Y,,N,N/A,Y,Y,Y,Y,Y,Y,Y,"$0 - up to 5 ANZ HL, RIL and Equity Facs available if no prior accounts held.",
1-Q3W,Standard Variable 100% Offset Mortgage Owner Occupied P&I,Citibank,Standard Variable,"For the purchase of a residential investment property subject to: There are no defects in previous credit history. There is evidence of stable employment history. Security must be located in a category 1,2 or 3 postcode- location guide.",5.93,,,,,399,350,8,Monthly,0,0,250,250000,,0,90,0,90,0,0,0,0,0,65,Y,N,Principal & Interest,5%,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,N,N,N,N,N,N,N,N,N,1,30,,Application fee includes cost of valuations to $500. Refer to BDM to confirm additional valuation costs.,N,N,N,Y,N,N,N,Y,N,Y,Y,"Fee: $0. ($20 payable when you request a redraw via the telephone or facsimile). Details: no min, no max.",Y,Y,N/A,N,Y,Y,N,N,N,,N,N/A,Y,Y,Y,Y,N,Y,Y,Y- max 4 splits. No Extra split fee for new business. $150 per request for variation. NOTE: can only have 1 offset split.,6.07
1-1CH3XM5,Standard Variable 100% Offset Mortgage Investment P&I,Citibank,Standard Variable,"For the purchase of a residential investment property subject to: There are no defects in previous credit history. There is evidence of stable employment history. Security must be located in a category 1,2 or 3 postcode- location guide.",5.93,,,,,399,350,8,Monthly,0,0,250,250000,,0,0,0,0,0,90,0,90,0,65,N,Y,Principal & Interest,5%,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,N,N,N,N,N,N,N,N,N,1,30,,Application fee includes cost of valuations to $500. Refer to BDM to confirm additional valuation costs.,N,N,N,Y,N,N,N,Y,N,Y,Y,"Fee: $0. ($20 payable when you request a redraw via the telephone or facsimile). Details: no min, no max.",Y,Y,N/A,N,Y,Y,N,N,N,,N,N/A,Y,Y,Y,Y,N,Y,Y,Y- max 4 splits. No Extra split fee for new business. $150 per request for variation. NOTE: can only have 1 offset split.,6.47
1-QH9,Standard Variable Owner Occupied P&I,Citibank,Standard Variable,,5.93,,,,,399,350,8,Monthly,0,0,250,250000,,0,90,0,90,0,0,0,0,0,65,Y,N,Principal & Interest,5%,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,N,N,N,N,N,N,N,N,N,1,30,,Application fee includes cost of valuations to $500. Refer to BDM to confirm additional valuation costs.,N,N,N,N,Y,N,N,Y,N,N,Y,"Fee: $0. ($20 payable when you request a redraw via the telephone or facsimile). Details: no min, no max.",Y,N,N/A,N,Y,Y,N,N,N,,N,N/A,Y,Y,Y,Y,N,Y,Y,Max 4 splits. No split fee for new business. $150 per request for variation.,6.07
1-1CH3XLV,Standard Variable Investment P&I,Citibank,Standard Variable,,5.93,,,,,399,350,8,Monthly,0,0,250,250000,,0,0,0,0,0,90,0,90,0,65,N,Y,Principal & Interest,5%,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,N,N,N,N,N,N,N,N,N,1,30,,Application fee includes cost of valuations to $500. Refer to BDM to confirm additional valuation costs.,N,N,N,N,Y,N,N,Y,N,N,Y,"Fee: $0. ($20 payable when you request a redraw via the telephone or facsimile). Details: no min, no max.",Y,N,N/A,N,Y,Y,N,N,N,,N,N/A,Y,Y,Y,Y,N,Y,Y,Max 4 splits. No split fee for new business. $150 per request for variation.,6.47
1-6D9ZD,MAV 5 Year Fixed Owner Occupied P&I,Commonwealth Bank,MAV 5 Year Fixed,95% LVR full doc available. Genuine savings (or equity) of at least 5% must be verified for all new loan applications where the base LVR is greater than 90%.,4.87,4.39,60,,,0,350,395,Annually,0,0,200,150000,,0,95,0,90,0,0,0,0,0,95,Y,N,Principal & Interest,5%,Y,Y,Y,Y,Y,Y,Y,Y,N,Y,N,N,N,N,N,N,N,N,Y,5,30,0.15% Discount off fixed rate (already applied),,N,N,Y,Y,N,N,Y,Y,N,N,Y,Not available during fixed term,N,Y,ETF (Fixed loans). No DEF,Y,Y,N,Y,Y,N,,N,N/A,Y,Y,Y,Y,Y,Y,Y,No charge at settlement for any splits.,5.07
